Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B08,D,77,5,3,10,0,PC9.sp,SB.plate
B08,D,69,6,3,10,0,PC9.sp,SB.plate
B08,D,34,7,3,10,0,PC9.sp,SB.plate
B08,D,18,8,3,10,0,PC9.sp,SB.plate
B08,D,8,9,3,10,0,PC9.sp,SB.plate
B08,D,5,10,3,10,0,PC9.sp,SB.plate
B08,E,35,0,3,10,0,PC9.sp,SB.plate
B08,E,70,1,3,10,0,PC9.sp,SB.plate
B08,E,92,2,3,10,0,PC9.sp,SB.plate
B08,E,119,3,3,10,0,PC9.sp,SB.plate
B08,E,129,4,3,10,0,PC9.sp,SB.plate
B08,E,141,5,3,10,0,PC9.sp,SB.plate
B08,E,158,6,3,10,0,PC9.sp,SB.plate
B08,E,149,7,3,10,0,PC9.sp,SB.plate
B08,E,166,8,3,10,0,PC9.sp,SB.plate
B08,E,166,9,3,10,0,PC9.sp,SB.plate
B08,E,163,10,3,10,0,PC9.sp,SB.plate
B08,F,17,0,3,10,0,PC9.sp,SB.plate
B08,F,24,1,3,10,0,PC9.sp,SB.plate
B08,F,23,2,3,10,0,PC9.sp,SB.plate
B08,F,22,3,3,10,0,PC9.sp,SB.plate
B08,F,22,4,3,10,0,PC9.sp,SB.plate
