Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,9,101,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day14
BPSKMEL,XX,9,66,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day15
BPSKMEL,XX,9,69,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day16
BPSKMEL,XX,9,70,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day17
BPSKMEL,XX,9,49,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day18
BPSKMEL,XX,9,39,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day19
BPSKMEL,XX,9,36,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day20
BPSKMEL,XX,10,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day0
BPSKMEL,XX,10,2,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day1
BPSKMEL,XX,10,7,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day2
BPSKMEL,XX,10,11,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day3
BPSKMEL,XX,10,20,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day4
BPSKMEL,XX,10,30,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day5
BPSKMEL,XX,10,58,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day6
BPSKMEL,XX,10,64,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day7
BPSKMEL,XX,10,62,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day8
BPSKMEL,XX,10,95,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day9
BPSKMEL,XX,10,66,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day10
BPSKMEL,XX,10,72,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day11
BPSKMEL,XX,10,41,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day12
BPSKMEL,XX,10,52,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day13
BPSKMEL,XX,10,32,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day14
BPSKMEL,XX,10,9,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day15
BPSKMEL,XX,10,18,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day16
BPSKMEL,XX,10,12,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day17
BPSKMEL,XX,10,17,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day18
BPSKMEL,XX,10,18,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day19
BPSKMEL,XX,10,23,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day20
BPSKMEL,XX,11,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day0
BPSKMEL,XX,11,5,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day1
BPSKMEL,XX,11,10,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day2
BPSKMEL,XX,11,22,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day3
BPSKMEL,XX,11,49,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day4
BPSKMEL,XX,11,89,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day5
BPSKMEL,XX,11,167,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day6
BPSKMEL,XX,11,172,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day7
BPSKMEL,XX,11,219,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day8
BPSKMEL,XX,11,177,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C07H2B_day9
